f_all,f_spectral,f_spatial,f_context
Area (Pxl),Mean Layer 1,Compactness,Number of neighbors
Mean diff. to neighbors (abs) Layer 1 (0),Mean Layer 2,Shape index,Mean diff. to neighbors (abs) Layer 1 (0)
Mean diff. to neighbors (abs) Layer 2 (0),Mean Layer 3,GLCM Entropy Layer 1 (all dir.),Mean diff. to neighbors (abs) Layer 2 (0)
Mean diff. to neighbors (abs) Layer 3 (0),Mean Layer 4,GLCM Entropy Layer 2 (all dir.),Mean diff. to neighbors (abs) Layer 3 (0)
Mean diff. to neighbors (abs) Layer 4 (0),Standard deviation Layer 1,GLCM Entropy Layer 3 (all dir.),Mean diff. to neighbors (abs) Layer 4 (0)
Compactness,Standard deviation Layer 2,GLCM Entropy Layer 4 (all dir.),Mean diff. to neighbors Layer 1 (0)
Mean diff. to neighbors Layer 1 (0),Standard deviation Layer 3,,Mean diff. to neighbors Layer 2 (0)
Mean diff. to neighbors Layer 2 (0),Standard deviation Layer 4,,Mean diff. to neighbors Layer 3 (0)
Mean diff. to neighbors Layer 3 (0),,,Mean diff. to neighbors Layer 4 (0)
Mean diff. to neighbors Layer 4 (0),,,
Shape index,,,
Mean Layer 1,,,
Mean Layer 2,,,
Mean Layer 3,,,
Mean Layer 4,,,
Standard deviation Layer 1,,,
Standard deviation Layer 2,,,
Standard deviation Layer 3,,,
Standard deviation Layer 4,,,
Main direction,,,
Number of neighbors,,,
GLCM Entropy Layer 1 (all dir.),,,
GLCM Entropy Layer 2 (all dir.),,,
GLCM Entropy Layer 3 (all dir.),,,
GLCM Entropy Layer 4 (all dir.),,,
