Area (Pxl),Mean diff. to neighbors (abs) Layer 1 (0),Mean diff. to neighbors (abs) Layer 2 (0),Mean diff. to neighbors (abs) Layer 3 (0),Mean diff. to neighbors (abs) Layer 4 (0),Compactness,Mean diff. to neighbors Layer 1 (0),Mean diff. to neighbors Layer 2 (0),Mean diff. to neighbors Layer 3 (0),Mean diff. to neighbors Layer 4 (0),Shape index,Mean Layer 1,Mean Layer 2,Mean Layer 3,Mean Layer 4,Standard deviation Layer 1,Standard deviation Layer 2,Standard deviation Layer 3,Standard deviation Layer 4,Main direction,Number of neighbors,GLCM Entropy Layer 1 (all dir.),GLCM Entropy Layer 2 (all dir.),GLCM Entropy Layer 3 (all dir.),GLCM Entropy Layer 4 (all dir.)
93,25.183736269362,45.718521575751,19.6354295514295,235.775288046031,2.0,-25.183736269362,-45.718521575751,-19.6354295514295,-235.775288046031,2.02205580472433,186.021505376344,232.10752688172,119.612903225806,308.279569892473,24.949832888713,32.4807510790296,19.1967919912176,59.5815814780701,93.0644018208609,2,6.38512286486488,6.45937982339885,6.36225170961155,6.38354604103389
168,36.839572318366,57.8451180872863,29.582956559948,201.593451316059,2.24404761904762,18.4856168423175,24.9536452190692,3.55786214531865,201.593451316059,1.89021603703563,222.208333333333,291.642857142857,145.672619047619,593.315476190476,17.3324819502447,24.7331678487965,13.3262616769839,97.2640086544616,86.9013549062073,4,6.91939886924577,7.0135249728166,6.73394601069284,7.08767292942148
34,97.3989855105584,154.814244011175,97.2990835653879,230.502145091339,1.51318678121383,-97.3989855105584,-154.814244011175,-97.2990835653879,-230.502145091339,1.54348726628258,189.147058823529,239.176470588235,133.5,277.058823529412,36.6526881711698,49.3620898762909,32.0562465235166,36.2596365904947,14.1559446437473,3,5.64191857109325,5.57639334127845,5.42904321222489,5.53757831828188
276,83.8400972500725,150.031482469009,114.350544838599,108.232572594575,1.16666666666667,12.3995998155053,-2.33937075540546,-7.25802830884519,-54.3913834918977,1.20385853085769,379.347826086957,534.398550724638,350.184782608696,363.094202898551,20.3044409270749,38.5719804917895,29.6228451847014,20.6542930517135,91.542996238307,6,7.09354935790073,7.37039844405852,7.08492006808768,6.9395443145822
91,104.657233728574,181.661507924008,148.281260129729,180.381527114742,1.53846153846154,-104.657233728574,-181.661507924008,-148.281260129729,-180.381527114742,1.46759877141069,267.945054945055,368.021978021978,233.142857142857,272.758241758242,52.8201099393779,80.4026922656197,59.0331572742878,57.7444808569275,87.7536558932629,3,6.48607801010728,6.45135871852963,6.43651557582205,6.39557597005846
133,103.220611186568,177.866533731646,147.047476406701,145.330460718398,2.83073011709708,-86.9788137338181,-141.454741736314,-87.6058760898836,-46.3472447168999,2.42790791466754,281.218045112782,427.203007518797,317.90977443609,545.87969924812,41.3954591142092,56.8499885133,58.8121079353456,86.2395716780751,29.4515751096243,8,6.83841267963224,6.85261415184602,6.83721491233454,6.9764815611536
363,41.9688592449094,72.2741314934471,47.5216769284569,177.094027840626,2.37147596817268,-40.7772323854781,-68.1590777785665,-45.9096769226297,-148.901438032152,2.49310343513702,192.435261707989,254.256198347107,128.289256198347,460.022038567493,28.2995210002458,39.1182136336648,22.9353281753307,77.960960486846,115.581454436929,7,7.67941010068478,7.76498627578585,7.51682935101185,7.8602915827639
50,98.1724529218907,174.540826427446,138.721987220675,160.123060722386,2.04,10.3721680643195,17.0573331740723,15.7636563860927,-2.5265344800127,2.05060966544099,403.38,599.78,415.88,452.16,59.8831829481367,84.6024325891404,66.660825077402,86.7853351667203,85.8635059471957,4,6.16005971706149,6.10929966140309,6.11548470200544,6.08622914869947
24,142.242615686987,283.540882859792,247.600342979356,301.471810171042,1.8753843129836,142.242615686987,283.540882859792,247.600342979356,301.471810171042,1.63299316185545,497.291666666667,816.375,626.0,811.166666666667,57.242524378492,100.123595495767,91.0457760323527,123.107902084129,34.0000528201185,4,5.26035008964106,5.29264131856646,5.36756940062357,5.43309843717183
138,83.6685669507418,132.439236824138,94.6240606212045,75.6290289577433,1.95652173913043,65.3967774982458,89.8418636357327,55.2261137613011,13.805156171914,1.53226175536575,487.963768115942,726.152173913043,492.963768115942,511.463768115942,27.955557229363,41.4847452622891,28.1925083635755,24.5313048803896,38.3911772535661,6,6.84982664770818,6.91222120742311,6.76124540071745,6.80976129505695
124,51.6520710180785,75.7926659499057,67.8872981528532,55.3497440183316,1.33064516129032,51.6520710180785,75.7926659499057,67.8872981528532,-35.5292815231897,1.16743446317404,317.379032258065,463.403225806452,334.427419354839,471.475806451613,18.6463663942506,26.2118907254061,25.9733651996016,31.3151163409371,23.1280995836703,3,6.55993928706522,6.75911666051994,6.62481397265284,6.73487735350963
234,13.9949464104923,33.7753710921445,18.6393336853991,217.806852078859,3.01913789835728,5.33381718702126,5.62152090474747,4.9925670527516,4.97423280847554,2.74562589193458,212.517094017094,295.188034188034,152.84188034188,691.482905982906,16.2820271664579,25.9759690469951,18.686247693814,75.258484248517,119.480482154342,3,7.04674505483774,7.31201015309396,7.01446574646575,7.48063615460926
117,87.3348906137732,146.979365677461,112.199792423822,88.7858287678367,2.05139636429737,34.891746975802,54.2853217903136,29.628290936803,75.264704059212,2.03390071949251,278.581196581197,392.666666666667,225.606837606838,550.820512820513,39.6431171888454,63.7460238411429,52.8238416233183,94.8600962988254,147.427198538092,4,6.86818236022771,6.87078552346955,6.82735051956714,6.8732783019349
145,99.1301987513587,166.651828735368,131.353588161621,136.99106505847,4.44480003792645,-23.91841034056,-37.0946181440065,-22.2279425106333,-103.314437382558,3.7370465934183,388.462068965517,586.88275862069,398.613793103448,497.241379310345,43.9631539594717,66.189852691229,47.7890748165235,81.2169742630339,102.162414558641,13,7.18819345802109,7.17104197270785,7.17517758271484,7.00067229284061
211,3.62261051598974,14.1628637351654,11.3099776184277,190.49525260177,1.71090047393365,2.52611233922801,5.4295658779571,-2.1241861572207,190.49525260177,1.34243536210195,220.312796208531,320.028436018957,164.488151658768,956.895734597156,10.4485549580803,17.4361162171736,14.3940351619135,72.5937114950806,122.893402866448,3,6.49124494369462,6.85915608266598,6.62911622135583,7.25091971162793
132,56.9832715873468,88.2478635337979,61.1806200205682,52.0161169415292,1.75,41.7622870382991,66.2917011191374,45.3205170142202,-2.8900739024427,1.43614066163451,446.106060606061,665.772727272727,449.348484848485,464.416666666667,24.1084222601795,37.2718495831627,26.7366462982938,32.1949651782429,112.84857871099,3,6.57824636450995,6.88248344726621,6.66113625852861,6.8176514545242
78,46.4060286789598,80.1634591107891,83.7942532853206,72.6604574254462,3.64581967305809,11.5759023149893,13.652474896686,10.0374801162742,-28.3978651994179,2.15132636487473,264.717948717949,376.102564102564,241.679487179487,496.961538461538,18.5547681589738,28.1464074054868,24.4935855494933,33.0238617334038,58.0529250074996,5,6.45423712518905,6.52994690548752,6.50923498675103,6.41412523088134
56,165.186495868438,298.949284713804,241.470011818923,175.525967177964,1.84145838963601,165.186495868438,298.949284713804,241.470011818923,175.525967177964,1.40312152004023,495.25,798.107142857143,593.392857142857,695.607142857143,66.1824453418621,109.558477303126,92.5890842400344,146.818605108898,49.734156310462,3,6.09227894205704,6.06295878520354,6.19295358567069,6.14907363401235
58,42.4185953224649,82.0449919562054,79.347920141463,199.185008132042,1.71356847656165,23.6146116041695,60.2953469076234,24.492065081304,199.185008132042,1.37871754502709,255.224137931034,392.068965517241,233.206896551724,699.98275862069,26.9795855796553,50.2788301474765,57.46145893364,46.7356805948721,48.3015387155151,4,6.12204775788244,6.19639002818065,6.12779198050228,6.03000009630842
447,22.4627841523955,47.1140249625437,28.1285800835078,196.18104392038,4.58808883185911,3.77136363237817,2.80483100840856,-0.785967058088109,7.91080609136246,4.42239824800776,211.129753914989,290.407158836689,152.152125279642,570.510067114094,29.1904367546293,44.2567225164827,30.2489172058684,96.6028529402332,29.2018218811759,12,8.02796478757743,8.13257900035022,7.98658386011587,8.15505442720517
111,48.8445990626267,88.44375463379,62.6352193414638,199.951050660897,1.97599932332233,-48.8445990626267,-88.44375463379,-62.6352193414638,-199.951050660897,1.61356859277925,187.846846846847,255.711711711712,132.378378378378,435.108108108108,22.9955727028378,36.0206115638034,28.7342762498828,69.7061207326294,85.7823096697122,7,6.71307918760922,6.76313132676547,6.54225048703177,6.76878598438584
4,202.53708145927,340.232533733133,235.461219390305,188.897426286857,1.0,202.53708145927,340.232533733133,235.461219390305,188.897426286857,1.0,640.75,996.75,681.25,693.25,18.0883249639097,30.6787793107874,19.1229574072631,18.0190871022924,0,2,2.89305419537838,2.89305419537838,2.89305419537838,2.89305419537838
16,189.711680427392,305.033179536992,220.976754492472,303.48918366521,1.53832699609966,189.711680427392,305.033179536992,220.976754492472,303.48918366521,1.5,533.125,820.125,558.1875,880.5625,66.9252147923337,98.4535899548615,67.0085990284083,125.982622189531,111.754674261052,2,5.10787258050644,5.06046300559828,5.00577008939014,5.00631088211704
6,162.233847336895,336.191804273919,274.894702120771,410.026125141654,1.33333333333333,162.233847336895,336.191804273919,274.894702120771,410.026125141654,1.22474487139159,523.666666666667,880.0,636.666666666667,955.166666666667,51.0511725842046,82.2617772723152,61.0564401917514,68.1528103276428,18.4877649852448,2,3.9360424024877,3.75749161694738,3.75749161694738,3.65431020378753
142,99.8282269163168,161.554888738874,135.730254673148,151.202705346037,2.482500271823,-21.0379277704243,-36.0605430427978,-24.8842755786543,20.6882700337273,2.18187153157139,280.345070422535,414.584507042254,251.246478873239,688.838028169014,53.0894867413486,79.1935801706802,62.6288178527252,121.672015677101,101.495115778532,8,6.96776858622379,6.98669544395939,6.98653985007393,7.05575258998987
121,3.35775318672083,19.5647849838913,2.85712284633701,267.30956716627,1.38842975206612,3.35775318672083,19.5647849838913,2.85712284633701,267.30956716627,1.18181818181818,224.504132231405,343.057851239669,169.619834710744,1133.2479338843,10.0750276065016,18.4369811267673,12.2772760582587,57.0260605919804,74.8531613472959,1,6.33902803166278,6.63241310930305,6.33208660286717,6.7816850326049
23,60.8302433048682,115.731660657928,67.5922502686128,323.271174006133,1.85081968521264,-60.8302433048682,-115.731660657928,-67.5922502686128,-323.271174006133,1.45960089839952,174.173913043478,230.739130434783,117.347826086957,405.913043478261,15.6640051902806,20.7787880788672,12.8523680634862,49.9981852222643,54.4820019588426,2,5.16674505945501,5.10296972644543,5.10745181397289,5.18151755810636
312,24.7554909820781,50.6150199400669,33.1829635669941,182.418876316617,2.53846153846154,3.83849263572465,19.1923079596825,2.59401448790417,82.0804425446653,2.68915795609341,225.147435897436,331.663461538462,170.525641025641,737.955128205128,23.2742304087092,41.4027925271157,27.6256914794416,87.0412032513632,92.8825734305334,6,7.49042774081388,7.73347099025814,7.49504721037198,7.71090789390534
340,11.4848767932137,12.1671613691756,16.1542070499143,86.6595315708358,2.57950980275211,0.253325633314527,5.73990185777612,14.1606737716241,3.52061657194399,4.04032977687247,232.976470588235,349.291176470588,214.758823529412,662.114705882353,5.90707745114629,7.79897684266206,8.72087143672673,28.9679603167611,112.807057535455,3,6.00398723980097,6.54876907260712,6.51312800644014,7.76109205294447
237,24.826966964723,33.1789718355627,25.345826182183,178.151841712387,2.49606283395962,24.826966964723,33.1789718355627,25.345826182183,73.0883605237832,3.28032750243124,251.987341772152,361.101265822785,218.42194092827,545.64135021097,12.940461196256,16.6957850640223,11.24821709401,66.6628431847012,112.081862998572,3,7.01528232914213,7.07267015285673,6.66013477751887,7.4314856337973
79,1.9287649097076,6.18626093270927,11.2702830503452,218.645623436198,1.51898734177215,1.56358138657142,-6.18626093270927,-11.2702830503452,218.645623436198,1.29385108606493,224.79746835443,321.569620253165,157.455696202532,1017.81012658228,9.59612230075378,14.7164624466751,11.4844941897231,61.682748126519,62.0841516280767,2,5.89246665385663,6.10716182327134,5.85767441723317,6.44354794964103
310,30.6144267165963,45.4676003791412,27.0885223225502,179.356327116733,2.79266662800622,-30.6144267165963,-45.4676003791412,-27.0885223225502,-64.0522451163057,4.99806414137417,220.887096774194,306.761290322581,172.612903225806,293.132258064516,16.3153448835155,23.1475167959533,14.230538310392,62.1838475401864,112.649427866509,4,7.53937977244646,7.75014106583128,7.28470679868672,7.79461571226651
649,6.00716945228714,18.3606861130307,14.2904016935764,178.378421158441,2.91783886242737,1.0039009475324,1.14004335718846,-2.97923012503128,38.8336153200266,4.45526471348003,221.146379044684,323.493066255778,166.762711864407,865.938366718028,13.9339789314089,22.5182076234641,19.2357628550306,58.6290936611387,112.568233994521,12,6.9715371199838,7.57037088578275,7.31399551864581,8.3248240076275
529,5.87437266794453,10.824149187403,20.9431593207335,102.939325896729,2.89718648104223,-3.69622963562009,-2.19515280902818,0.413836835659805,-19.3299516854316,4.76086956521739,221.317580340265,332.4404536862,187.824196597354,744.691871455577,5.9380300882202,9.1192865989583,12.0993563455446,48.8358768118629,113.951277854164,7,5.98310029981399,6.71021833860018,6.95418686106581,8.23168872790107
77,6.97754787585296,8.05150781421969,8.81465991635483,138.736957957297,1.4025974025974,-6.97754787585296,-8.05150781421969,-8.81465991635483,138.736957957297,1.1965860528262,214.168831168831,315.441558441558,157.948051948052,1004.67532467532,7.85981493685584,14.6779218481037,12.3508200515331,64.7150480419836,93.7804722068917,1,5.80314664489151,6.25703267293642,6.10510346723615,6.40506739868624
249,45.0081644172359,74.5271829117512,54.3682775123374,192.364892350189,3.08143521343493,-39.2583322067318,-65.782197550251,-44.1521038147654,-156.901694522323,2.94681776493882,198.907630522088,256.120481927711,139.626506024096,372.373493975904,30.7446325678967,44.6251853873134,36.7825622787773,99.8656982702519,107.466843398863,7,7.42202694028735,7.50010019453382,7.43382329526541,7.50101598359234
247,101.844750419653,153.661529417623,122.951403169454,135.529918300517,1.64372469635628,39.9861809189783,58.4585604567595,60.2986816219955,-132.392099474606,1.62252614558823,296.040485829959,409.651821862348,266.514170040486,342.854251012146,28.8696354458472,41.6475503252929,30.767227188123,53.0029696302122,103.253781954672,5,7.24884079574971,7.35976605670187,7.27592386467504,7.28469632872141
205,33.5220321041705,56.2757581624922,46.2174786347618,269.532270589514,3.00487804878049,11.6659411378393,26.6018480651992,12.4319074444198,89.8863019027531,2.89848572744375,262.736585365854,384.229268292683,224.809756097561,726.219512195122,26.110438582575,43.1081580412397,33.14576678911,130.168055013907,87.7773315386717,5,7.21997811625489,7.40137013997867,7.23945792610187,7.4128335283015
229,44.4309085099585,69.1462988603685,58.6088827351156,212.308872084354,1.4061135371179,-44.4309085099585,-69.1462988603685,-58.6088827351156,212.308872084354,1.85029208127425,218.305676855895,315.082969432314,166.200873362445,938.528384279476,16.4083537436517,32.985733556444,21.8142976055445,81.6829279759058,88.6419599000688,1,6.98313163078516,7.23048742339068,6.96098759714206,7.3402109294708
88,53.5607574034719,98.6624116148386,90.4638330761954,144.440856864046,2.04545454545455,53.5607574034719,98.6624116148386,90.4638330761954,23.7897244598644,1.54570519357818,334.306818181818,499.306818181818,344.079545454545,527.5,24.7557880993814,34.2551780938249,31.1667879724662,101.64599889277,99.6785103195299,3,6.46864032078336,6.61012406167098,6.55761056564776,6.54891515804314
101,91.089572336724,148.692828487775,100.80119445693,197.404530474146,1.83564160325377,-91.089572336724,-148.692828487775,-100.80119445693,-197.404530474146,2.13932995895148,188.831683168317,261.079207920792,162.821782178218,429.623762376238,33.2494530013611,49.1342237541926,34.2311293796454,84.0700852701463,99.1435475024612,3,6.63524332010691,6.6130677795244,6.55439349705416,6.71522459490135
115,86.2127712587904,151.030040335001,137.198841493786,164.916081625161,1.88695652173913,86.2127712587904,151.030040335001,137.198841493786,81.4949167359079,1.91163485689264,308.608695652174,463.173913043478,329.182608695652,590.191304347826,31.2681795891672,55.5142380279019,54.4422442448151,67.5429519577599,95.4206034819419,4,6.42841761316951,6.61775665957002,6.63691045666344,6.56296082840896
57,54.1998950440419,91.1427241772772,84.3880304072359,281.521027122604,1.35087719298246,-7.74459011505274,-25.7229246785303,-57.0087488700596,281.521027122604,1.25830573921179,228.754385964912,318.736842105263,159.140350877193,906.0,21.2720727070622,30.9530070051245,29.6413879664674,61.7788926652734,103.658545662326,3,6.0334694578604,5.95137771110909,5.93720827212714,5.97117178292219
153,45.2715522475371,74.7727852558012,75.1427150761381,169.976214648716,2.9281045751634,1.92979624527002,4.31308288759106,-9.3800167054766,118.27224492617,1.98070760446339,253.960784313725,370.248366013072,224.464052287582,705.803921568627,26.5322303330057,44.3380184824604,34.3111533427498,77.384791772629,103.464293349567,5,6.83215967445751,7.01536990792788,6.98380961031161,7.08372491467427
113,53.8882925379025,116.381766084308,140.786258514815,98.3713067950031,1.23893805309735,53.8882925379025,116.381766084308,140.786258514815,-98.3713067950031,1.12886504206032,289.530973451327,454.088495575221,336.58407079646,618.327433628319,17.5615583784784,35.5444524185801,34.2610296596603,82.9747207988304,72.4323629462894,2,6.43669370423371,6.6079485134392,6.62614937280395,6.65426181772057
151,55.6879073343034,104.700702701516,94.5275781471349,123.872221655093,1.58940397350993,-50.9458731151109,-95.0887894094377,-92.6430503038049,123.872221655093,1.46481922578809,211.218543046358,294.317880794702,157.576158940397,731.225165562914,24.6049297918673,41.0230706954491,35.6218991142322,122.147081689944,49.5230889393595,5,6.81488640868333,6.93490517436905,6.93143069732757,7.02250188843138
57,48.6273394684064,70.9466604071541,46.9911405583109,237.79329115754,2.08771929824561,-48.6273394684064,-70.9466604071541,-46.9911405583109,-131.513601159766,1.78811868203781,198.070175438596,267.666666666667,152.350877192982,336.070175438596,29.4796151092032,50.5646479838534,42.6151654202109,88.7353367474791,3.33852401221159,4,6.21524818451551,6.13380553961214,6.15311261095429,6.13309051089765
442,53.9672132446088,92.1015201789632,76.6332321254741,109.425175721635,2.02036199095023,-39.446653199372,-80.481788123245,-69.3337123652003,-109.425175721635,1.87882340191025,236.033936651584,299.092760180995,172.092760180995,212.882352941176,20.2749478158923,27.5062805182199,18.9447396459993,24.7206969157855,82.7131077140132,7,7.39720930354057,7.65616723337227,7.2390222274714,7.32036024280286
227,14.0330629837733,28.2423200745862,11.1014442839102,294.917857704532,1.83259911894273,14.0330629837733,24.3946242644979,-4.48641506686096,294.917857704532,1.72568061015993,211.581497797357,282.070484581498,133.960352422907,699.687224669604,24.9239585646408,31.157187971963,21.304447548302,94.6012450428807,88.5043993963133,3,7.16050427244812,7.22244714361623,6.8247961874584,7.40023812588151
135,49.2661763850015,74.6045306863839,55.0783278402447,257.222547636614,1.50907132534739,12.6198464278061,24.5437622130815,-9.12763013889561,257.222547636614,1.63525963506535,256.022222222222,368.725925925926,212.711111111111,699.244444444444,17.0191468066026,31.0742073894637,24.2578331500528,56.2504277075639,97.2028171530902,2,6.59425723781707,6.89022972831323,6.83072164381654,6.98634708317188
388,28.8396899687633,52.9477127751796,50.19355586937,183.141463812685,2.81769200771948,16.1118362469319,27.5713228490207,26.5147391904011,-25.9351526189638,3.22372407429924,289.987113402062,415.123711340206,272.219072164948,452.605670103093,25.3390888069099,34.889814108046,28.2232620873361,87.8371071388985,97.9972180667413,14,7.68357047982629,7.87791996827532,7.78186753700706,7.95332012860711
28,98.0085134760308,150.976364060077,105.587185358993,190.759717255627,1.70230306149238,-98.0085134760308,-150.976364060077,-105.587185358993,-172.170155399957,1.51185789203691,159.071428571429,220.607142857143,118.071428571429,551.75,21.4024841205551,28.0933892652376,19.2408207640285,99.8561912380571,102.961438667391,4,5.33176845918585,5.24126945285769,5.31030153383855,5.59181964326529
116,23.1451880869877,37.3395147604321,26.7443832602377,216.006790000273,2.12068965517241,-19.5806506835583,-31.3773138936524,-22.598198975331,-92.7920904475476,2.83185390720004,252.525862068966,351.456896551724,212.629310344828,401.448275862069,24.5909505386589,32.6109227104015,22.9017881294098,60.6675998325395,90.0906988475907,4,6.85186498770173,6.89377662223168,6.85059614253302,6.81966114792022
48,61.8943157032337,109.485388930611,84.2627935829623,163.426521245893,1.60416666666667,58.0356816826151,108.97327552855,77.9408219334778,129.468422460021,1.44337567297406,277.125,413.416666666667,251.145833333333,700.354166666667,36.4872266462297,61.8637054787018,54.7300152199159,101.316436965112,84.8733299552667,3,6.07560705370487,5.93751930713818,6.07471985246834,5.94246904942371
9,351.238770001928,539.922768459611,363.4553948975,454.631697834329,1.33333333333333,351.238770001928,539.922768459611,363.4553948975,454.631697834329,1.16666666666667,605.333333333333,885.666666666667,579.777777777778,779.555555555556,129.791285446203,199.869401804723,140.029979153496,143.825597405802,116.600586400863,2,4.50044784387264,4.5077151792027,4.58473153259825,4.40889681981696
